Date,AQI,Air Quality,PM2.5,PM10,SO2,CO,NO2,O3_8h
2017/1/1,82,Moderate,34,48,19,0.9,65,65
2017/1/2,92,Moderate,68,75,22,1.2,65,48
2017/1/3,127,Lightly Polluted,96,95,18,1.2,74,73
2017/1/4,90,Moderate,52,56,21,0.9,72,73
2017/1/5,55,Moderate,26,24,13,0.8,44,85
2017/1/6,65,Moderate,21,27,13,0.8,52,53
2017/1/7,60,Moderate,16,15,13,0.9,48,67
2017/1/8,103,Lightly Polluted,77,73,16,1.8,54,11
2017/1/9,87,Moderate,64,70,22,1.3,44,72
2017/1/10,107,Lightly Polluted,80,82,19,1.2,54,79
2017/1/11,52,Moderate,30,40,15,0.7,41,74
2017/1/12,93,Moderate,56,62,17,1,74,36
2017/1/13,130,Lightly Polluted,99,111,31,1.3,69,65
2017/1/14,39,Good,22,33,15,0.7,30,77
2017/1/15,35,Good,12,24,13,0.6,27,70
2017/1/16,53,Moderate,17,27,14,0.6,42,69
2017/1/17,90,Moderate,40,52,18,0.9,72,47
2017/1/18,65,Moderate,35,40,16,0.8,52,70
2017/1/19,105,Lightly Polluted,79,89,21,1.1,63,68
2017/1/20,90,Moderate,67,98,19,1,33,78
2017/1/21,73,Moderate,36,46,16,0.9,58,74
2017/1/22,65,Moderate,44,65,21,0.9,52,74
2017/1/23,44,Good,22,36,17,0.7,35,84
2017/1/24,52,Moderate,29,40,18,0.7,41,95
2017/1/25,75,Moderate,55,61,18,0.8,42,102
2017/1/26,73,Moderate,53,52,17,0.8,46,114
2017/1/27,63,Moderate,42,75,13,0.7,29,82
2017/1/28,61,Moderate,27,72,12,0.6,25,104
2017/1/29,78,Moderate,57,63,14,1,32,90
2017/1/30,41,Good,22,39,10,0.6,13,82
2017/1/31,42,Good,11,19,9,0.5,16,83
2017/2/1,45,Good,31,37,12,0.7,20,90
2017/2/2,44,Good,21,30,11,0.6,23,87
2017/2/3,57,Moderate,16,24,12,0.6,45,55
2017/2/4,80,Moderate,55,52,12,1.1,64,21
2017/2/5,152,Moderately Polluted,116,115,14,1.4,57,57
2017/2/6,89,Moderate,66,65,12,0.9,31,96
2017/2/7,45,Good,13,25,10,0.5,27,89
2017/2/8,38,Good,15,17,9,0.5,28,76
2017/2/9,97,Moderate,72,72,17,1.1,35,90
2017/2/10,57,Moderate,40,59,20,0.9,42,87
2017/2/11,74,Moderate,43,60,21,1,59,86
2017/2/12,99,Moderate,63,67,20,1.1,79,99
2017/2/13,93,Moderate,59,57,17,0.9,74,108
2017/2/14,103,Lightly Polluted,68,65,20,1,86,126
2017/2/15,89,Moderate,66,60,18,0.7,55,143
2017/2/16,74,Moderate,39,50,13,0.8,59,84
2017/2/17,69,Moderate,50,72,14,0.7,46,75
2017/2/18,52,Moderate,15,36,13,0.5,41,73
2017/2/19,65,Moderate,37,65,13,0.7,37,117
2017/2/20,65,Moderate,42,80,11,0.7,32,87
2017/2/21,46,Good,21,46,9,0.6,25,88
2017/2/22,75,Moderate,55,58,9,1,45,62
2017/2/23,102,Lightly Polluted,76,73,14,0.9,37,93
2017/2/24,60,Moderate,43,50,14,0.8,45,106
2017/2/25,108,Lightly Polluted,81,79,18,1,75,120
