month,means,max,min,PM2.5,SO2,CO,NO2,O3_8h
Jan,73.77419355,130,35,44.80645161,16.77419355,0.9,47.22580645,73.03225806
Feb,77.78571429,158,38,50.25,14.25,0.828571429,48.64285714,92.03571429
Mar,71.32258065,104,48,44.48387097,12.41935484,0.722580645,50.03225806,106.5806452
Apr,90.43333333,135,54,44.66666667,12.03333333,0.79,50.76666667,130.7333333
May,83.68965517,153,43,30.34482759,10.72413793,0.631034483,36.51724138,135.1724138
Jun,82.56666667,153,46,38.46666667,9.133333333,0.67,34.9,128.4
Jul,114.7096774,204,32,33.12903226,10.22580645,0.664516129,30.09677419,173.0322581
Aug,94.70967742,191,25,31.16129032,8.290322581,0.729032258,32.25806452,147.2903226
Sep,73.5,160,43,25.96666667,8.866666667,0.723333333,35.63333333,117.2666667
Oct,58.38709677,87,38,23.83870968,9.096774194,0.690322581,33.51612903,101.4193548
Nov,78.5,129,40,41.46666667,12.53333333,0.81,59.06666667,78.96666667
Dec,93.5483871,225,48,54.12903226,15.41935484,0.996774194,68.58064516,63.32258065
